ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JLIZTSO,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJLSZIO,0,,,
TJLZSIO,0,,,
OZSJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JLIZTOS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJLZSOI,0,,,
JLIZOTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
OSZJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJLZOSI,0,,,
JLIOZTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJLOZSI,0,,,
SOZJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JLOIZTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJOLZSI,0,,,
TOJLZSI,0,,,
SZOJILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JOLIZTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
SZJOILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
OJLIZTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
SZJIOLT,1,TIJSZO,L,v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
OJLZITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JOLZITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JLOZITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JLZOITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JLZIOTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JLZITOS,2,TLJSZO;TILJZO,I;S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
OTJLZSI,0,,,
JLZITSO,2,TLJSZO;TILJZO,I;S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
SZJILOT,1,TILSZO,J,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA
JZLITSO,2,TLJSZO;TILJZO,I;S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
SZJILTO,2,TLJSZO;TILJSZ,I;O,v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA;v115@9gi0wwilR4A8zhglAtR4D8xwBtF8g0wwAtE8JeAgWG?Aad9VC0/AAA
JZLITOS,2,TLJSZO;TILJZO,I;S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
OTJZLSI,1,TLJSZO,I,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA
JZLIOTS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
SJZILTO,2,TLJSZO;TILJSZ,I;O,v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA;v115@9gi0wwilR4A8zhglAtR4D8xwBtF8g0wwAtE8JeAgWG?Aad9VC0/AAA
TOJZLSI,1,TLJSZO,I,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA
JZLOITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJOZLSI,1,TLJSZO,I,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA
SJZILOT,1,TILSZO,J,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA
JZOLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
JOZLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
SJZIOLT,1,TIJSZO,L,v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJZOLSI,2,TLJSZO;TILJSZ,I;O,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA;v115@9gzhilR4A8i0wwglAtR4D8xwBtF8g0wwAtE8JeAgWG?A6untCM+AAA
SJZOILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
OJZLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
SJOZILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJZLOSI,3,TLJSZO;TILJSZ,I;O,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA;v115@9gzhilR4A8i0wwglAtR4D8xwBtF8g0wwAtE8JeAgWG?A6untCM+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
OZJLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
ZOJLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
TJZLSOI,3,TLJSZO;TILJSZ,I;O,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA;v115@9gzhilR4A8i0wwglAtR4D8xwBtF8g0wwAtE8JeAgWG?A6untCM+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
SOJZILT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
TJZLSIO,3,TLJSZO;TILJSZ,I;O,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA;v115@9gzhilR4A8i0wwglAtR4D8xwBtF8g0wwAtE8JeAgWG?A6untCM+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
TZJLSIO,4,TLJSZO;TILJSZ;TILJZO,I;O;S,v115@9gRph0ilR4A8Rpg0wwglAtR4D8xwBtF8g0wwAtE8Je?AgWGA6untCvCBAA;v115@9gzhilR4A8i0wwglAtR4D8xwBtF8g0wwAtE8JeAgWG?A6untCM+AAA;v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
ZJOLITS,1,TILJZO,S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA
